assemblyName N50 N90 assemblySize
genome_001.fasta 71861 71851 143712
genome_002.fasta 88353 51479 139832
genome_003.fasta 316292 119308 435600
genome_004.fasta 66727 42258 108985
genome_005.fasta 79441 79441 79441
genome_006.fasta 75214 70914 146128
genome_007.fasta 246441 246441 246441
genome_008.fasta 41186 41186 41186
genome_009.fasta 41182 41182 41182
genome_010.fasta 51479 41186 181018
genome_011.fasta 70914 70914 70914
genome_012.fasta 79441 79441 79441
genome_013.fasta 41186 41186 41186
genome_014.fasta 41182 41182 41182
genome_015.fasta 66727 42258 108985
