assemblyName qseqid sseqid pident nident length mismatch gapopen qstart qend sstart send evalue bitscore qlen slen cov
genome_004.fasta 3_length=66727_depth=0.76x OXA-181 100 998 998 0 0 49850 50847 998 1 0 1919 66727 998 100
genome_004.fasta 3_length=66727_depth=0.76x OXA-181 100 998 998 0 0 43441 44438 998 1 0 1919 66727 998 100
genome_004.fasta 3_length=66727_depth=0.76x OXA-181 100 998 998 0 0 37032 38029 998 1 0 1919 66727 998 100
genome_005.fasta 2_length=79441_depth=2.21x_circular=true KPC-2 100 918 918 0 0 11390 12307 918 1 0 1765 79441 918 100
genome_005.fasta 2_length=79441_depth=2.21x_circular=true KPC-2 100 918 918 0 0 3810 4727 918 1 0 1765 79441 918 100
genome_012.fasta 2_length=79441_depth=2.21x_circular=true KPC-2 100 918 918 0 0 11390 12307 918 1 0 1765 79441 918 100
genome_012.fasta 2_length=79441_depth=2.21x_circular=true KPC-2 100 918 918 0 0 3810 4727 918 1 0 1765 79441 918 100
genome_015.fasta 3_length=66727_depth=0.76x OXA-181 100 998 998 0 0 49850 50847 998 1 0 1919 66727 998 100
genome_015.fasta 3_length=66727_depth=0.76x OXA-181 100 998 998 0 0 43441 44438 998 1 0 1919 66727 998 100
genome_015.fasta 3_length=66727_depth=0.76x OXA-181 100 998 998 0 0 37032 38029 998 1 0 1919 66727 998 100
genome_001.fasta 4_length=71861_depth=1.95x_circular=true KPC-2 100 918 918 0 0 3810 4727 918 1 0 1765 71861 918 100
genome_001.fasta 5_length=71851_depth=1.95x_circular=true KPC-2 100 918 918 0 0 3810 4727 918 1 0 1765 71851 918 100
genome_003.fasta 2_length=316292_depth=2.71x_circular=true NDM-1 100 1013 1013 0 0 149582 150594 1013 1 0 1948 316292 1013 100
genome_003.fasta 2_length=316292_depth=2.71x_circular=true OXA-181 100 998 998 0 0 49123 50120 998 1 0 1919 316292 998 100
genome_007.fasta 2_length=246497_depth=2.06x_circular=true KPC-2 100 918 918 0 0 178390 179307 918 1 0 1765 246497 918 100
genome_007.fasta 2_length=246497_depth=2.06x_circular=true IMP-26 100 861 861 0 0 145325 146185 861 1 0 1656 246497 861 100
genome_010.fasta 5_length=51479_depth=1.31x_circular=true OXA-181 100 998 998 0 0 31280 32277 998 1 0 1919 51479 998 100
genome_010.fasta 3_length=41186_depth=4.61x_circular=true NDM-1 100 1013 1013 0 0 23027 24039 1013 1 0 1948 41186 1013 100
