,IMP-26,KPC-2,NDM-1,OXA-181
genome_001.fasta,0,1,0,0
genome_002.fasta,0,0,0,1
genome_003.fasta,0,0,1,1
genome_004.fasta,0,0,0,1
genome_005.fasta,0,1,0,0
genome_006.fasta,0,0,0,0
genome_007.fasta,1,1,0,0
genome_008.fasta,0,0,1,0
genome_009.fasta,0,0,1,0
genome_010.fasta,0,0,1,1
genome_011.fasta,0,0,0,0
genome_012.fasta,0,1,0,0
genome_013.fasta,0,0,1,0
genome_014.fasta,0,0,1,0
genome_015.fasta,0,0,0,1
